hire_year,Status,hire_month,num_employees,experience_from_hire
2010,Terminated,8,8,15
2010,Retired,8,1,15
2010,Resigned,8,21,15
2010,Active,8,76,15
2010,Terminated,9,12,15
2010,Retired,9,17,15
2010,Resigned,9,45,15
2010,Active,9,115,15
2010,Terminated,10,4,15
2010,Retired,10,8,15
2010,Resigned,10,34,15
2010,Active,10,132,15
2010,Terminated,11,8,15
2010,Retired,11,11,15
2010,Resigned,11,34,15
2010,Active,11,111,15
2010,Terminated,12,5,15
2010,Retired,12,16,15
2010,Resigned,12,37,15
2010,Active,12,100,15
2011,Terminated,1,10,14
2011,Retired,1,11,14
2011,Resigned,1,39,14
2011,Active,1,118,14
2011,Terminated,2,9,14
2011,Retired,2,5,14
2011,Resigned,2,34,14
2011,Active,2,127,14
2011,Terminated,3,6,14
2011,Retired,3,10,14
2011,Resigned,3,34,14
2011,Active,3,115,14
2011,Terminated,4,10,14
2011,Retired,4,7,14
2011,Resigned,4,33,14
2011,Active,4,118,14
2011,Terminated,5,8,14
2011,Retired,5,6,14
2011,Resigned,5,20,14
2011,Active,5,128,14
2011,Terminated,6,12,14
2011,Retired,6,7,14
2011,Resigned,6,37,14
2011,Active,6,137,14
2011,Terminated,7,11,14
2011,Retired,7,9,14
2011,Resigned,7,37,14
2011,Active,7,124,14
2011,Terminated,8,12,14
2011,Retired,8,5,14
2011,Resigned,8,40,14
2011,Active,8,121,14
2011,Terminated,9,9,14
2011,Retired,9,10,14
2011,Resigned,9,29,14
2011,Active,9,121,14
2011,Terminated,10,7,14
2011,Retired,10,8,14
2011,Resigned,10,47,14
2011,Active,10,112,14
2011,Terminated,11,13,14
2011,Retired,11,7,14
2011,Resigned,11,33,14
2011,Active,11,107,14
2011,Terminated,12,9,14
2011,Retired,12,10,14
2011,Resigned,12,38,14
2011,Active,12,137,14
2012,Terminated,1,9,13
2012,Retired,1,8,13
2012,Resigned,1,27,13
2012,Active,1,137,13
2012,Terminated,2,10,13
2012,Retired,2,9,13
2012,Resigned,2,31,13
2012,Active,2,117,13
2012,Terminated,3,11,13
2012,Retired,3,8,13
2012,Resigned,3,34,13
2012,Active,3,96,13
2012,Terminated,4,6,13
2012,Retired,4,9,13
2012,Resigned,4,36,13
2012,Active,4,128,13
2012,Terminated,5,6,13
2012,Retired,5,10,13
2012,Resigned,5,29,13
2012,Active,5,132,13
2012,Terminated,6,7,13
2012,Retired,6,16,13
